index,OFFER,CATEGORY,UNIQUE_ID
116,"Back to the Roots Soils, select varieties, at Walmart or Lowes",{'Packaged Meals & Sides'},fcb9b020fa156e4beca6eb6643ee9e24ff890aee0709d0e8e4e7851f51718c0a
117,Back to the Roots Grow Kits at Walmart or The Home Depot,{'Packaged Meals & Sides'},ff573991d7323459fa24f5a082341aa14fba97fe9952e277b27903e35e8e629d
118,Back to the Roots Grow Hydroponic Grow Kit OR Refill Bundle at Walmart,{'Packaged Meals & Sides'},4fadbd7a1937bba6052f4b53d00da5fe16c1949ad85e7f709c90b3f4f87d26cb
119,"Back to the Roots Seeds, at Walmart",{'Packaged Meals & Sides'},52a7f6e55831ae25b15c928d9c43bc2b0bb7c53748dc82d6fa88574692ec5b0a
120,"Back to the Roots Organic Kits and Planters, at Target",{'Packaged Meals & Sides'},104530bfdf7ab9d6a615e80ce41e4701715ac648541f53b4682a82f152fe3e54
121,"Back to the Roots Potting Mix, 1 cubic foot, at Lowe's Home Improvement",{'Packaged Meals & Sides'},a9721ec5b19797a622e8fda4a15f9aaec1371811dc69a4e1609cb056023d42f5
122,"Back to the Roots Organic 3-In-1 Seed Starting Mix 12 quart, at Walmart or Target",{'Packaged Meals & Sides'},d0b1a1b94eec91338b228a95d07ae6578dec3a996302f295d3496007656a3506
123,"Back to the Roots Soils, select varieties, at Walmart",{'Packaged Meals & Sides'},81ee9d5fbe8af572f0ae42156befe1f2d510bde27ce048111d0b54725770ef13
124,"Dove Hand Wash, select varieties, buy 2 at Target","{'Bath & Body', 'Deodorant & Antiperspirant'}",d8d36cd2915c20e77eee3579af6b081b5d0f781c3c10151fa037d283a6befde8
125,"Dove Hand Wash, select varieties at Target","{'Bath & Body', 'Deodorant & Antiperspirant'}",ae26f3c334aae66f197e22f5a63cf9f307bbf9a4987b81f93a73527b62e3bc9f
126,"Frutero Ice Cream, 1 pint",{'Frozen Desserts'},bc25afdfe5a4042083c5e587cf244761c733437eb14c5d53da195af79c7ba416
127,"Bio-Oil® Skincare Oil OR Gel, select varieties",{'Skin Care'},2d1fa4b45260ecb058639728cc1098ae0854120ccfbfac40209c763a7703ba55
128,"Bio-Oil® products, select varieties","{'Cooking & Baking', 'Skin Care'}",74452c3b362094647c00ee841890014442e02dd6cfc62b6445e6123dc0f39f0f
129,"Welch's®Fruit Snacks, select varieties, buy 2",{'Fruit & Vegetable Snacks'},b5017072c6b700ae4157b7e7d5e2dfeebb5a2f22515aaba0c0ae7f287b2ffe32
130,"Welch's® Zero Sugar Fruity Bites, 6 pack+, online at Amazon",{'Fruit & Vegetable Snacks'},4400e2c4d77de370f415ba1aba4d354add284519b4a3abf8755147ae3ae18519
131,"Welch's® Fruit Snacks, select varieties, 6 count+, buy 3",{'Fruit & Vegetable Snacks'},ada9db54a312275a4b98e765756cf84c0580477f5473f09da4d15a859a7c924d
132,"Welch's® Fruit Snacks, 250 count, online at Amazon",{'Fruit & Vegetable Snacks'},fa41d03bf798b28ac3579d33f588fc5aa2365c8927858ee622bb299bac499764
133,"Welch's® Juicefuls® Juicy Fruit Snacks, 14 count, at Target",{'Fruit & Vegetable Snacks'},5fa49951b17d5860e59a75215012037c46504444ccbc914f8258e14b92cc3f2d
134,"Welch's® Fruit Snacks, select varieties, 6 count+, buy 2",{'Fruit & Vegetable Snacks'},9606133b935682d296f403ab6735beb2127dda095f381abc4b9f89786b527f3c
135,"Welch's®Fruit Snacks, spend $8",{'Fruit & Vegetable Snacks'},0ec80c23753b58f975e94d33e3e9af984b98485330b5919b120c4a792b75d4b2
136,"Welch's® Fruit 'n Yogurt® Snacks, 18 count, at Walmart",{'Fruit & Vegetable Snacks'},6fdae19ddfd737984e7745f60bc47b813a9bfd22e1d8c4524bbb3449325e8f3c
137,"Welch's® Fruit Snacks, select varieties, 6 count+",{'Fruit & Vegetable Snacks'},4d564a4dc572636e95fb7f0d9e819bc859e1ec12858ba335accc3f4739d255d5
138,"Welch's® Juicefuls® Juicy Fruit Snacks, buy 2",{'Fruit & Vegetable Snacks'},043b165c088559e4f46fb4b3092198eeaa4a1932daa70a67d988bcad8fc0d2db
139,Talenti Mini Bars,{'Frozen Desserts'},fbc5078dc325a5ac258dfcbe0881668d31a746936d85e0abc013aee3d0d1ccf1
140,"Molson Coors®, select varieties, 12 pack+",{'Beer'},f02f23dd76f11568cfa34c90f82832836e52c4360c366e35b89c74342a476795
141,"Marinela® sweet baked goods, buy 2","{'Cookies', 'Snack Cakes'}",4aee3fa6be811f5c5a3e998f568b5f5ab367538323f6f1e0069609a157af650e
142,"Coors Light®, Miller Lite® OR VIZZY™ 12 pack+","{'Hard Seltzers, Sodas, Waters, Lemonades & Teas', 'Malt Beverages'}",c9e8c666266d865a3c77c6933f661842f7893824177076b397ecae0f950c7136
143,"Coors Light®, Miller Lite® OR VIZZY™ 12 packs+, buy 4","{'Hard Seltzers, Sodas, Waters, Lemonades & Teas', 'Malt Beverages'}",13df156f0c7ad9723520be0fbc61c0f5d27783f251db86e6b88dbd5f1aec732a
144,"Coors Light®, Miller Lite® OR VIZZY™ 12 packs+, buy 2","{'Hard Seltzers, Sodas, Waters, Lemonades & Teas', 'Malt Beverages'}",226ca3e0e981aeef624082a557485a0bf07ab4cf727a27aad43028d4b7502dfb
145,"Coors Light®, Miller Lite® OR VIZZY™ 12 packs+, buy 3","{'Hard Seltzers, Sodas, Waters, Lemonades & Teas', 'Malt Beverages'}",7b43cb57d1e3167f2394a1f3d0c5f211b7818851151d979c2fa0b36fe2cf9512
146,"Coors Light®, Miller Lite® OR VIZZY™ 12 packs+, buy 5","{'Hard Seltzers, Sodas, Waters, Lemonades & Teas', 'Malt Beverages'}",fb62f0f8caca0c254a05a87a9ae72a146eb5b1fdcf0d92862fbd40d3b9775460
147,Little Bites® Spend $10 at Walmart®,"{'Bakery', 'Snack Cakes'}",b5fca86d6efd110d103b756bbb8883c6ae9a0f705e479b4a9feb111f770cde1a
